Pot Value,Angle,Pot Value Back,Extension Length
-935.0,0.0,-935.0,0.0
-930.0,0.9283196239717979,-930.0,0.0
-925.0,1.8566392479435958,-925.0,0.0
-920.0,2.7849588719153937,-920.0,0.0
-915.0,3.7132784958871916,-915.0,0.0
-910.0,4.6415981198589895,-910.0,0.0
-905.0,5.569917743830787,-905.0,0.0
-900.0,6.498237367802585,-900.0,0.0
-895.0,7.426556991774383,-895.0,0.0
-890.0,8.354876615746182,-890.0,0.0
-885.0,9.283196239717979,-885.0,0.0
-880.0,10.211515863689778,-880.0,0.0
-875.0,11.139835487661575,-875.0,0.0
-870.0,12.068155111633374,-870.0,0.0
-865.0,12.99647473560517,-865.0,0.0
-860.0,13.92479435957697,-860.0,0.0
-855.0,14.853113983548766,-855.0,0.0
-850.0,15.781433607520565,-850.0,0.0
-845.0,16.709753231492364,-845.0,0.0
-840.0,17.63807285546416,-840.0,0.0
-835.0,18.566392479435958,-835.0,0.0
-830.0,19.494712103407757,-830.0,0.0
-825.0,20.423031727379556,-825.0,0.0
-820.0,21.35135135135135,-820.0,0.0
-815.0,22.27967097532315,-815.0,0.0
-810.0,23.20799059929495,-810.0,0.0
-805.0,24.136310223266747,-805.0,0.0
-800.0,25.064629847238542,-800.0,0.0
-795.0,25.99294947121034,-795.0,0.0
-790.0,26.92126909518214,-790.0,0.0
-785.0,27.84958871915394,-785.0,0.0
-780.0,28.777908343125734,-780.0,0.0
-775.0,29.706227967097533,-775.0,0.0
-770.0,30.63454759106933,-770.0,0.0
-765.0,31.56286721504113,-765.0,0.0
-760.0,32.491186839012926,-760.0,0.0
-755.0,33.41950646298473,-755.0,0.0
-750.0,34.34782608695652,-750.0,0.0
-745.0,35.27614571092832,-745.0,0.0
-740.0,36.20446533490012,-740.0,0.0
-735.0,37.132784958871916,-735.0,0.0
-730.0,38.06110458284372,-730.0,0.0
-725.0,38.989424206815514,-725.0,0.0
-720.0,39.91774383078731,-720.0,0.0
-715.0,40.84606345475911,-715.0,0.0
-710.0,41.77438307873091,-710.0,0.0
-705.0,42.7027027027027,-705.0,0.0
-700.0,43.631022326674504,-700.0,0.0
-695.0,44.5593419506463,-695.0,0.0
-690.0,45.4876615746181,-690.0,0.0
-685.0,46.4159811985899,-685.0,0.0
-680.0,47.34430082256169,-680.0,0.0
-675.0,48.272620446533494,-675.0,0.0
-670.0,49.20094007050529,-670.0,0.0
-665.0,50.129259694477085,-665.0,0.0
-660.0,51.05757931844889,-660.0,0.0
-655.0,51.98589894242068,-655.0,0.0
-650.0,52.914218566392485,-650.0,0.0
-645.0,53.84253819036428,-645.0,0.0
-640.0,54.770857814336075,-640.0,0.0
-635.0,55.69917743830788,-635.0,0.0
-630.0,56.62749706227967,-630.0,0.0
-625.0,57.55581668625147,-625.0,0.0
-620.0,58.48413631022327,-620.0,0.0
-615.0,59.412455934195066,-615.0,0.0
-610.0,60.34077555816687,-610.0,0.0
-605.0,61.26909518213866,-605.0,0.0
-600.0,62.19741480611046,-600.0,0.0
-595.0,63.12573443008226,-595.0,0.0
-590.0,64.05405405405406,-590.0,0.0
-585.0,64.98237367802585,-585.0,0.0
-580.0,65.91069330199765,-580.0,0.0
-575.0,66.83901292596946,-575.0,0.0
-570.0,67.76733254994124,-570.0,0.0
-565.0,68.69565217391305,-565.0,0.0
-560.0,69.62397179788485,-560.0,0.0
-555.0,70.55229142185664,-555.0,0.0
-550.0,71.48061104582844,-550.0,0.0
-545.0,72.40893066980024,-545.0,0.0
-540.0,73.33725029377203,-540.0,0.0
-535.0,74.26556991774383,-535.0,0.0
-530.0,75.19388954171563,-530.0,0.0
-525.0,76.12220916568744,-525.0,0.0
-520.0,77.05052878965923,-520.0,0.0
-515.0,77.97884841363103,-515.0,0.0
-510.0,78.90716803760283,-509.99999999999994,0.0
-505.0,79.83548766157462,-505.0,0.0
-500.0,80.76380728554642,-499.99999999999994,0.0
-495.0,81.69212690951822,-494.99999999999994,0.0
-490.0,82.62044653349001,-490.0,0.0
-485.0,83.54876615746181,-484.99999999999994,0.0
-480.0,84.47708578143362,-479.99999999999994,0.0
-475.0,85.4054054054054,-475.0,0.0
-470.0,86.3337250293772,-469.99999999999994,0.0
-465.0,87.26204465334901,-464.99999999999994,0.0
-460.0,88.1903642773208,-460.0,0.0
-455.0,89.1186839012926,-454.99999999999994,0.0
-450.0,90.0470035252644,-449.99999999999994,0.0
-445.0,90.9753231492362,-444.99999999999994,0.0
-440.0,91.90364277320799,-439.99999999999994,0.0
-435.0,92.8319623971798,-434.99999999999994,0.0
-430.0,93.7602820211516,-429.99999999999994,0.0
-425.0,94.68860164512338,-425.0,0.0
-420.0,95.61692126909519,-420.0,0.0
-415.0,96.54524089306699,-414.9999999999999,0.0
-410.0,97.47356051703878,-410.0,0.0
-405.0,98.40188014101058,-405.0,0.0
-400.0,99.33019976498238,-399.9999999999999,0.0
-395.0,100.25851938895417,-395.0,0.0
-390.0,101.18683901292597,-390.0,0.0
-385.0,102.11515863689777,-384.9999999999999,0.0
-380.0,103.04347826086958,-379.9999999999999,0.0
-375.0,103.97179788484137,-375.0,0.0
-370.0,104.90011750881317,-369.9999999999999,0.0
-365.0,105.82843713278497,-364.9999999999999,0.0
-360.0,106.75675675675676,-360.0,0.0
-355.0,107.68507638072856,-354.9999999999999,0.0
-350.0,108.61339600470036,-349.9999999999999,0.0
-345.0,109.54171562867215,-345.0,0.0
-340.0,110.47003525264395,-340.0,0.0
-335.0,111.39835487661576,-334.9999999999999,0.0
-330.0,112.32667450058754,-330.0,0.0
-325.0,113.25499412455935,-325.0,0.0
-320.0,114.18331374853115,-319.9999999999999,0.0
-315.0,115.11163337250294,-315.0,0.0
-310.0,116.03995299647474,-310.0,0.0
-305.0,116.96827262044654,-304.9999999999999,0.0
-300.0,117.89659224441834,-299.9999999999999,0.0
-295.0,118.82491186839013,-295.0,0.0
-290.0,119.75323149236193,-289.9999999999999,0.0
-285.0,120.68155111633374,-284.9999999999999,0.0
-280.0,121.60987074030552,-280.0,0.0
-275.0,122.53819036427733,-274.9999999999999,0.0
-270.0,123.46650998824913,-269.9999999999999,0.0
-265.0,124.39482961222092,-265.0,0.0
-260.0,125.32314923619272,-259.9999999999999,0.0
-255.0,126.25146886016452,-254.9999999999999,0.0
-250.0,127.17978848413631,-250.0,0.0
-245.0,128.10810810810813,-244.9999999999999,0.0
-240.0,129.03642773207991,-239.9999999999999,0.0
-235.0,129.9647473560517,-235.0,0.0
-230.0,130.89306698002352,-229.9999999999999,0.0
-225.0,131.8213866039953,-224.9999999999999,0.0
-220.0,132.7497062279671,-220.0,0.0
-215.0,133.6780258519389,-214.9999999999999,0.0
-210.0,134.6063454759107,-209.9999999999999,0.0
-205.0,135.5346650998825,-205.0,0.0
-200.0,136.4629847238543,-199.9999999999999,0.0
-195.0,137.3913043478261,-194.9999999999999,0.0
-190.0,138.31962397179788,-190.0,0.0
-185.0,139.2479435957697,-184.9999999999999,0.0
-180.0,140.1762632197415,-179.9999999999999,0.0
-175.0,141.10458284371327,-175.0,0.0
-170.0,142.0329024676851,-169.9999999999999,0.0
-165.0,142.96122209165688,-164.9999999999999,0.0
-160.0,143.88954171562867,-160.0,0.0
-155.0,144.81786133960048,-154.9999999999999,0.0
-150.0,145.74618096357227,-149.9999999999999,0.0
-145.0,146.67450058754406,-145.0,0.0
-140.0,147.60282021151588,-139.9999999999999,0.0
-135.0,148.53113983548766,-134.9999999999999,0.0
-130.0,149.45945945945948,-129.9999999999999,0.0
-125.0,150.38777908343127,-124.99999999999989,0.0
-120.0,151.31609870740306,-120.0,0.0
-115.0,152.24441833137487,-114.99999999999989,0.0
-110.0,153.17273795534666,-109.99999999999989,0.0
-105.0,154.10105757931845,-105.0,0.0
-100.0,155.02937720329027,-99.99999999999989,0.0
-95.0,155.95769682726205,-94.99999999999989,0.0
-90.0,156.88601645123384,-90.0,0.0
-85.0,157.81433607520566,-84.99999999999989,0.0
